id,latitude,longitude
845,55.858592,-3.391767
846,55.856796,-3.391702
847,55.854999,-3.391638
848,55.853203,-3.391574
849,55.851406,-3.39151
850,55.84961,-3.391446
851,55.847814,-3.391381
852,55.846017,-3.391317
853,55.844221,-3.391253
854,55.842424,-3.391189
855,55.840628,-3.391125
856,55.838832,-3.39106
857,55.837035,-3.390996
858,55.835239,-3.390932
859,55.833442,-3.390868
860,55.831646,-3.390804
861,55.829849,-3.39074
862,55.828053,-3.390676
863,55.826257,-3.390612
864,55.82446,-3.390547
865,55.822664,-3.390483
866,55.820867,-3.390419
867,55.819071,-3.390355
868,55.991562,-3.393336
869,55.989766,-3.393272
870,55.98797,-3.393207
871,55.986173,-3.393142
872,55.984377,-3.393078
873,55.98258,-3.393013
874,55.980784,-3.392948
875,55.978988,-3.392884
876,55.977191,-3.392819
877,55.975395,-3.392755
878,55.973598,-3.39269
879,55.971802,-3.392625
880,55.970005,-3.392561
881,55.968209,-3.392496
882,55.966413,-3.392432
883,55.964616,-3.392367
884,55.96282,-3.392303
885,55.961023,-3.392238
886,55.959227,-3.392174
887,55.95743,-3.392109
888,55.955634,-3.392045
889,55.953838,-3.39198
890,55.952041,-3.391916
891,55.950245,-3.391851
892,55.948448,-3.391787
893,55.946652,-3.391722
894,55.944856,-3.391658
895,55.943059,-3.391593
896,55.941263,-3.391529
897,55.939467,-3.391464
898,55.93767,-3.3914
899,55.935874,-3.391335
900,55.934077,-3.391271
901,55.932281,-3.391207
902,55.930485,-3.391142
903,55.928688,-3.391078
904,55.926892,-3.391013
905,55.925095,-3.390949
906,55.923299,-3.390885
907,55.921502,-3.39082
908,55.919706,-3.390756
909,55.91791,-3.390692
910,55.916113,-3.390627
911,55.914317,-3.390563
912,55.91252,-3.390498
913,55.910724,-3.390434
914,55.908928,-3.39037
915,55.907131,-3.390306
916,55.905335,-3.390241
917,55.903538,-3.390177
918,55.899946,-3.390049
919,55.89276,-3.389792
920,55.890964,-3.389727
921,55.889167,-3.389663
922,55.887371,-3.389599
923,55.885574,-3.389535
924,55.883778,-3.389471
925,55.881981,-3.389406
926,55.880185,-3.389342
927,55.878389,-3.389278
928,55.876592,-3.389214
929,55.874796,-3.38915
930,55.872999,-3.389086
931,55.871203,-3.389021
932,55.869407,-3.388957
933,55.86761,-3.388893
934,55.865814,-3.388829
935,55.864017,-3.388765
936,55.862221,-3.388701
937,55.860425,-3.388637
938,55.858628,-3.388573
939,55.856832,-3.388509
940,55.855035,-3.388444
941,55.853239,-3.38838
942,55.851442,-3.388316
943,55.849646,-3.388252
944,55.84785,-3.388188
945,55.846053,-3.388124
946,55.844257,-3.38806
947,55.84246,-3.387996
948,55.840664,-3.387932
949,55.838868,-3.387868
950,55.837071,-3.387804
951,55.835275,-3.38774
952,55.833478,-3.387676
953,55.831682,-3.387612
954,55.829886,-3.387548
955,55.828089,-3.387484
956,55.826293,-3.38742
957,55.824496,-3.387356
958,55.8227,-3.387292
959,55.820903,-3.387228
960,55.991599,-3.390131
961,55.989802,-3.390067
962,55.988006,-3.390002
963,55.986209,-3.389938
964,55.984413,-3.389873
965,55.982616,-3.389809
966,55.98082,-3.389744
967,55.979024,-3.38968
968,55.977227,-3.389615
969,55.975431,-3.389551
970,55.973634,-3.389487
971,55.971838,-3.389422
972,55.970042,-3.389358
973,55.968245,-3.389293
974,55.966449,-3.389229
975,55.964652,-3.389164
976,55.962856,-3.3891
977,55.961059,-3.389036
978,55.959263,-3.388971
979,55.957467,-3.388907
980,55.95567,-3.388843
981,55.953874,-3.388778
982,55.952077,-3.388714
983,55.950281,-3.388649
984,55.948485,-3.388585
985,55.946688,-3.388521
986,55.944892,-3.388457
987,55.943095,-3.388392
988,55.941299,-3.388328
989,55.939503,-3.388264
990,55.937706,-3.388199
991,55.93591,-3.388135
992,55.934113,-3.388071
993,55.932317,-3.388007
994,55.930521,-3.387942
995,55.928724,-3.387878
996,55.926928,-3.387814
997,55.925131,-3.38775
998,55.923335,-3.387685
